Artist,Title,Medium,Year,Url,Image,Image_url,Image_stem
Kris Andrew Small,New,synthetic polymer paint and spray paint on canvas,2024,https://www.artgallery.nsw.gov.au/prizes/archibald/2024/30676/,SID101400M.jpg.771x900_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID101400M.jpg.771x900_q85.jpg,SID101400M.jpg.771x900_q85.jpg
Ben Smith,"If you can see it, you can be it",oil on canvas,2024,https://www.artgallery.nsw.gov.au/prizes/archibald/2024/30677/,SID101376M.jpg.576x900_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID101376M.jpg.576x900_q85.jpg,SID101376M.jpg.576x900_q85.jpg
Nick Stathopoulos,The last picture show – portrait of David Stratton,synthetic polymer paint and oil on canvas,2024,https://www.artgallery.nsw.gov.au/prizes/archibald/2024/30678/,SID101399M.jpg.800x527_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID101399M.jpg.800x527_q85.jpg,SID101399M.jpg.800x527_q85.jpg
Liz Sullivan,Germaine,"synthetic polymer paint, oil, coloured pencil, graphite and pastel on board",2024,https://www.artgallery.nsw.gov.au/prizes/archibald/2024/30679/,SID101360M.jpg.673x900_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID101360M.jpg.673x900_q85.jpg,SID101360M.jpg.673x900_q85.jpg
Natasha Walsh,The marriage of Nicol and Ford,oil on copper,2024,https://www.artgallery.nsw.gov.au/prizes/archibald/2024/30685/,SID101386M.jpg.800x616_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID101386M.jpg.800x616_q85.jpg,SID101386M.jpg.800x616_q85.jpg
Oliver Watts,Last King of the Cross,synthetic polymer paint on canvas,2024,https://www.artgallery.nsw.gov.au/prizes/archibald/2024/30680/,SID101370M.jpg.641x900_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID101370M.jpg.641x900_q85.jpg,SID101370M.jpg.641x900_q85.jpg
Digby Webster,Trevor my filmmaker with camera,synthetic polymer paint on linen,2024,https://www.artgallery.nsw.gov.au/prizes/archibald/2024/30681/,SID101402M.jpg.600x900_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID101402M.jpg.600x900_q85.jpg,SID101402M.jpg.600x900_q85.jpg
Marcus Wills,Callum,oil on linen,2024,https://www.artgallery.nsw.gov.au/prizes/archibald/2024/30682/,SID101365M.jpg.679x900_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID101365M.jpg.679x900_q85.jpg,SID101365M.jpg.679x900_q85.jpg
Zoe Young,Jill’s at Bills,synthetic polymer paint and orange blossom water on canvas,2024,https://www.artgallery.nsw.gov.au/prizes/archibald/2024/30683/,SID101392M.jpg.772x900_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID101392M.jpg.772x900_q85.jpg,SID101392M.jpg.772x900_q85.jpg
Caroline Zilinsky,A lucid heart – the golden age of Jacob Elordi,oil on linen,2024,https://www.artgallery.nsw.gov.au/prizes/archibald/2024/30684/,SID101356M.jpg.719x900_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID101356M.jpg.719x900_q85.jpg,SID101356M.jpg.719x900_q85.jpg
Abdul Abdullah,Self-portrait after MD 2,oil on linen,2023,https://www.artgallery.nsw.gov.au/prizes/archibald/2023/30513/,SID93697W.jpg.800x637_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID93697W.jpg.800x637_q85.jpg,SID93697W.jpg.800x637_q85.jpg
Matt Adnate,Echoes of a teenage superstar,spray paint and acrylic on linen,2023,https://www.artgallery.nsw.gov.au/prizes/archibald/2023/30514/,SID93678W.jpg.800x794_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID93678W.jpg.800x794_q85.jpg,SID93678W.jpg.800x794_q85.jpg
Jill Ansell,Looking east,oil on board and assemblage in found tin,2023,https://www.artgallery.nsw.gov.au/prizes/archibald/2023/30515/,SID93699W.jpg.800x547_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID93699W.jpg.800x547_q85.jpg,SID93699W.jpg.800x547_q85.jpg
Natasha Bieniek,"Self-portrait, after Nora Heysen",oil on wood,2023,https://www.artgallery.nsw.gov.au/prizes/archibald/2023/30516/,SID93662W.jpg.683x900_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID93662W.jpg.683x900_q85.jpg,SID93662W.jpg.683x900_q85.jpg
Alanah Ellen Brand,Solomon Kammer: never enough,oil on canvas,2023,https://www.artgallery.nsw.gov.au/prizes/archibald/2023/30517/,SID93664W.jpg.596x900_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID93664W.jpg.596x900_q85.jpg,SID93664W.jpg.596x900_q85.jpg
Angela Brennan,Portrait of Erik Jensen,oil on linen,2023,https://www.artgallery.nsw.gov.au/prizes/archibald/2023/30518/,SID93688W.jpg.738x900_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID93688W.jpg.738x900_q85.jpg,SID93688W.jpg.738x900_q85.jpg
Keith Burt,Sam Leach in his studio chair,oil on canvas,2023,https://www.artgallery.nsw.gov.au/prizes/archibald/2023/30519/,SID93682W.jpg.666x900_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID93682W.jpg.666x900_q85.jpg,SID93682W.jpg.666x900_q85.jpg
Mitch Cairns,Elizabeth Pulie,oil on linen,2023,https://www.artgallery.nsw.gov.au/prizes/archibald/2023/30520/,SID93687W.jpg.783x900_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID93687W.jpg.783x900_q85.jpg,SID93687W.jpg.783x900_q85.jpg
Melissa Clements,"In the driveway, 40°",oil on paper,2023,https://www.artgallery.nsw.gov.au/prizes/archibald/2023/30521/,SID93673W.jpg.673x900_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID93673W.jpg.673x900_q85.jpg,SID93673W.jpg.673x900_q85.jpg
Yvette Coppersmith,Lady Primrose Potter AC,oil on jute,2023,https://www.artgallery.nsw.gov.au/prizes/archibald/2023/30522/,SID93665W.jpg.722x900_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID93665W.jpg.722x900_q85.jpg,SID93665W.jpg.722x900_q85.jpg
Luke Cornish,Barrambiyarra (Awaken),aerosol paint and acrylic on canvas,2023,https://www.artgallery.nsw.gov.au/prizes/archibald/2023/30523/,SID93689M.jpg.597x900_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID93689M.jpg.597x900_q85.jpg,SID93689M.jpg.597x900_q85.jpg
Emily Crockford,Jeff’s pink daisy eyelash clash,acrylic on canvas,2023,https://www.artgallery.nsw.gov.au/prizes/archibald/2023/30524/,SID93714W.jpg.670x900_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID93714W.jpg.670x900_q85.jpg,SID93714W.jpg.670x900_q85.jpg
Cameron Dimopoulos,Limbo,acrylic on canvas,2023,https://www.artgallery.nsw.gov.au/prizes/archibald/2023/30525/,SID93707W.jpg.800x642_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID93707W.jpg.800x642_q85.jpg,SID93707W.jpg.800x642_q85.jpg
Anh Do,Seeing Ruby,oil on linen,2023,https://www.artgallery.nsw.gov.au/prizes/archibald/2023/30526/,SID93677W.jpg.749x900_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID93677W.jpg.749x900_q85.jpg,SID93677W.jpg.749x900_q85.jpg
David Fenoglio,Christopher Bassi,oil on linen,2023,https://www.artgallery.nsw.gov.au/prizes/archibald/2023/30527/,SID93672W.jpg.775x900_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID93672W.jpg.775x900_q85.jpg,SID93672W.jpg.775x900_q85.jpg
Eliza Gosse,Breakfast at ours,oil on board,2023,https://www.artgallery.nsw.gov.au/prizes/archibald/2023/30528/,SID93694trim.jpg.800x644_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID93694trim.jpg.800x644_q85.jpg,SID93694trim.jpg.800x644_q85.jpg
Jaq Grantford,Through the window,oil on canvas,2023,https://www.artgallery.nsw.gov.au/prizes/archibald/2023/30529/,SID93666W.jpg.698x900_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID93666W.jpg.698x900_q85.jpg,SID93666W.jpg.698x900_q85.jpg
David Griggs,The melanoma and the stitches,oil on canvas,2023,https://www.artgallery.nsw.gov.au/prizes/archibald/2023/30530/,SID93679W.jpg.800x869_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID93679W.jpg.800x869_q85.jpg,SID93679W.jpg.800x869_q85.jpg
Julia Gutman,"Head in the sky, feet on the ground","oil, found textiles and embroidery on canvas",2023,https://www.artgallery.nsw.gov.au/prizes/archibald/2023/30531/,SID93675W.jpg.800x738_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID93675W.jpg.800x738_q85.jpg,SID93675W.jpg.800x738_q85.jpg
Tsering Hannaford,Nanna Mara,oil on board,2023,https://www.artgallery.nsw.gov.au/prizes/archibald/2023/30532/,SID93684W.jpg.800x798_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID93684W.jpg.800x798_q85.jpg,SID93684W.jpg.800x798_q85.jpg
Katherine Hattam,The nightingale and the kookaburra – portrait of Drusilla Modjeska,"collaged book pages, charcoal and gouache on linen",2023,https://www.artgallery.nsw.gov.au/prizes/archibald/2023/30533/,SID93661W.jpg.673x900_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID93661W.jpg.673x900_q85.jpg,SID93661W.jpg.673x900_q85.jpg
John Hillier,There’s something about Harry,acrylic on canvas,2023,https://www.artgallery.nsw.gov.au/prizes/archibald/2023/30534/,SID93667W.jpg.721x900_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID93667W.jpg.721x900_q85.jpg,SID93667W.jpg.721x900_q85.jpg
Michelle Hiscock,The songwriter,oil on paper,2023,https://www.artgallery.nsw.gov.au/prizes/archibald/2023/30535/,SID93711W.jpg.685x900_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID93711W.jpg.685x900_q85.jpg,SID93711W.jpg.685x900_q85.jpg
